tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,96.723,338781.9,40.471,79.584,512,512.00
ns1-ad0-ov0,1,0,0,87.152,375988.5,36.112,70.308,128,512.00
ns1-ad0-ov1,1,0,1,44.863,730400.8,35.332,43.340,128,512.00
ns1-ad1-ov0,1,1,0,87.458,374673.0,36.136,70.375,139,512.00
ns1-ad1-ov1,1,1,1,44.978,728536.2,36.513,44.509,139,512.00
ns2-ad0-ov0,2,0,0,87.208,375746.4,36.158,70.364,128,512.00
ns2-ad0-ov1,2,0,1,45.175,725363.3,35.643,43.650,128,512.00
ns2-ad1-ov0,2,1,0,87.464,374646.6,36.135,70.381,139,512.00
ns2-ad1-ov1,2,1,1,45.289,723528.5,36.805,44.812,139,512.00
p1-ad1-ov1,1,1,1,85.860,381646.4,77.087,85.094,139,512.00
p1-ad1-ov0,1,1,0,87.244,375590.7,36.022,70.168,139,512.00
