tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,96.776,338594.8,40.495,79.637,512,512.00
ns1-ad0-ov0,1,0,0,87.189,375825.1,36.143,70.346,128,512.00
ns1-ad0-ov1,1,0,1,45.017,727903.7,35.479,43.487,128,512.00
ns1-ad1-ov0,1,1,0,87.519,374411.1,36.183,70.439,139,512.00
ns1-ad1-ov1,1,1,1,45.132,726045.4,36.656,44.663,139,512.00
ns2-ad0-ov0,2,0,0,87.267,375489.7,36.191,70.424,128,512.00
ns2-ad0-ov1,2,0,1,45.251,724141.0,35.719,43.726,128,512.00
ns2-ad1-ov0,2,1,0,87.505,374471.9,36.161,70.430,139,512.00
ns2-ad1-ov1,2,1,1,45.431,721272.6,36.954,44.961,139,512.00
p1-ad1-ov1,1,1,1,85.866,381618.6,77.115,85.123,139,512.00
p1-ad1-ov0,1,1,0,87.271,375474.0,36.040,70.196,139,512.00
