section,scenario,gpus,arrival,skew,tasks,mode,makespan_ms,tput,p50_ms,p99_ms,steals,migrated_mb,imbalance,c_over_a,c_over_b,note
scale,balanced,1,steady,balanced,32768,static-A,368.58,88904,360.30,368.33,0,512.00,0.000,,,
scale,balanced,1,steady,balanced,32768,dyn-B,537.80,60930,276.52,516.41,0,512.00,0.000,,,
scale,balanced,1,steady,balanced,32768,ferry-C,342.66,95628,185.77,325.78,0,512.00,0.000,1.076,1.570,E=1.000
scale,balanced,2,steady,balanced,32768,static-A,395.34,82886,378.84,394.89,0,512.00,0.000,,,
scale,balanced,2,steady,balanced,32768,dyn-B,640.49,51161,327.87,620.12,2380,512.00,0.145,,,
scale,balanced,2,steady,balanced,32768,ferry-C,337.49,97093,192.68,323.10,22,512.00,0.174,1.171,1.898,E=1.015
scale,balanced,3,steady,balanced,32768,static-A,309.30,105944,293.94,308.70,0,512.00,0.000,,,
scale,balanced,3,steady,balanced,32768,dyn-B,542.50,60402,278.51,521.47,242,512.00,0.017,,,
scale,balanced,3,steady,balanced,32768,ferry-C,283.75,115481,172.17,268.24,25,512.00,0.136,1.090,1.912,E=1.207
scale,balanced,4,steady,balanced,32768,static-A,272.93,120060,257.32,272.13,0,512.00,0.000,,,
scale,balanced,4,steady,balanced,32768,dyn-B,420.53,77921,218.23,403.04,1772,512.00,0.127,,,
scale,balanced,4,steady,balanced,32768,ferry-C,243.50,134570,153.31,227.30,30,512.00,0.046,1.121,1.727,E=1.407
scale,imbalanced,1,steady,imbalanced,32768,static-A,393.86,83197,385.56,393.59,0,512.00,0.000,,,
scale,imbalanced,1,steady,imbalanced,32768,dyn-B,570.63,57424,293.36,548.85,0,512.00,0.000,,,
scale,imbalanced,1,steady,imbalanced,32768,ferry-C,346.82,94482,191.12,330.05,0,512.00,0.000,1.136,1.645,E=1.000
scale,imbalanced,2,steady,imbalanced,32768,static-A,400.61,81795,391.41,400.32,0,512.00,0.800,,,
scale,imbalanced,2,steady,imbalanced,32768,dyn-B,633.11,51758,314.82,616.17,10517,512.00,0.158,,,
scale,imbalanced,2,steady,imbalanced,32768,ferry-C,333.57,98234,191.47,321.85,51,512.00,0.166,1.201,1.898,E=1.040
scale,imbalanced,3,steady,imbalanced,32768,static-A,387.49,84564,377.88,387.17,0,512.00,1.128,,,
scale,imbalanced,3,steady,imbalanced,32768,dyn-B,549.78,59601,281.45,538.53,17876,512.00,0.029,,,
scale,imbalanced,3,steady,imbalanced,32768,ferry-C,301.13,108816,180.39,292.69,81,512.00,0.111,1.287,1.826,E=1.152
scale,imbalanced,4,steady,imbalanced,32768,static-A,378.18,86647,368.39,377.85,0,512.00,1.384,,,
scale,imbalanced,4,steady,imbalanced,32768,dyn-B,466.79,70198,241.42,458.32,21577,512.00,0.137,,,
scale,imbalanced,4,steady,imbalanced,32768,ferry-C,265.45,123445,165.26,259.12,101,512.00,0.033,1.425,1.758,E=1.306
mg41,balanced,4,steady,balanced,32768,static-A,266.09,123144,253.03,265.30,0,512.00,0.000,,,
mg41,balanced,4,steady,balanced,32768,dyn-B,420.30,77964,223.52,402.87,1745,512.00,0.125,,,
mg41,balanced,4,steady,balanced,32768,ferry-C,244.14,134218,155.38,227.92,28,512.00,0.045,1.090,1.722,
mg41,balanced,4,bursty,balanced,32768,static-A,276.97,118308,259.28,276.65,0,512.00,0.000,,,
mg41,balanced,4,bursty,balanced,32768,dyn-B,447.95,73150,243.48,439.76,2075,512.00,0.147,,,
mg41,balanced,4,bursty,balanced,32768,ferry-C,259.46,126292,168.91,254.54,27,512.00,0.030,1.068,1.726,
mg41,balanced,4,skewed,balanced,32768,static-A,297.90,109995,275.17,296.63,0,512.00,0.000,,,
mg41,balanced,4,skewed,balanced,32768,dyn-B,442.80,74001,229.50,417.82,2260,512.00,0.159,,,
mg41,balanced,4,skewed,balanced,32768,ferry-C,268.62,121988,163.95,241.88,30,512.00,0.031,1.109,1.648,
mg41,imbalanced,4,steady,imbalanced,32768,static-A,378.88,86487,369.07,378.52,0,512.00,1.384,,,
mg41,imbalanced,4,steady,imbalanced,32768,dyn-B,445.52,73549,225.44,436.92,21373,512.00,0.123,,,
mg41,imbalanced,4,steady,imbalanced,32768,ferry-C,247.66,132308,155.41,241.30,100,512.00,0.050,1.530,1.799,
mg41,imbalanced,4,bursty,imbalanced,32768,static-A,365.20,89727,362.70,364.98,0,512.00,1.384,,,
mg41,imbalanced,4,bursty,imbalanced,32768,dyn-B,429.46,76300,227.80,424.10,21271,512.00,0.119,,,
mg41,imbalanced,4,bursty,imbalanced,32768,ferry-C,264.69,123798,172.23,262.13,98,512.00,0.037,1.380,1.623,
mg41,imbalanced,4,skewed,imbalanced,32768,static-A,388.99,84239,372.13,388.49,0,512.00,1.381,,,
mg41,imbalanced,4,skewed,imbalanced,32768,dyn-B,420.41,77943,211.91,409.24,21142,512.00,0.116,,,
mg41,imbalanced,4,skewed,imbalanced,32768,ferry-C,248.07,132092,148.86,238.49,102,512.00,0.017,1.568,1.695,
trace,arxiv,4,trace,imbalanced,33000,static-A,378.62,87159,368.66,378.25,0,515.62,1.384,,,
trace,arxiv,4,trace,imbalanced,33000,dyn-B,440.08,74987,228.71,430.97,21510,515.62,0.122,,,
trace,arxiv,4,trace,imbalanced,33000,ferry-C,236.31,139650,147.15,229.65,99,515.62,0.078,1.602,1.863,
trace,toolagent,4,trace,imbalanced,33000,static-A,378.37,87217,368.34,378.00,0,515.62,1.384,,,
trace,toolagent,4,trace,imbalanced,33000,dyn-B,438.69,75223,224.52,429.85,21501,515.62,0.121,,,
trace,toolagent,4,trace,imbalanced,33000,ferry-C,234.51,140718,147.05,227.61,100,515.62,0.093,1.613,1.871,
