tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,53.481,612706.7,18.751,36.767,512,512.00
ns1-ad0-ov0,1,0,0,44.844,730710.3,14.580,28.333,128,512.00
ns1-ad0-ov1,1,0,1,23.687,1383361.1,14.898,22.825,128,512.00
ns1-ad1-ov0,1,1,0,45.160,725602.5,14.614,28.450,139,512.00
ns1-ad1-ov1,1,1,1,23.513,1393583.9,15.221,23.189,139,512.00
ns2-ad0-ov0,2,0,0,45.180,725271.0,14.778,28.670,128,512.00
ns2-ad0-ov1,2,0,1,23.568,1390382.6,14.762,22.701,128,512.00
ns2-ad1-ov0,2,1,0,45.272,723799.6,14.703,28.561,139,512.00
ns2-ad1-ov1,2,1,1,23.742,1380190.9,15.451,23.416,139,512.00
p1-ad1-ov1,1,1,1,43.827,747666.6,35.394,43.358,139,512.00
p1-ad1-ov0,1,1,0,45.498,720207.3,14.815,28.798,139,512.00
